id,n_docs,n_articles,orphan_docs_total,orphan_docs_name_matched,orphan_docs_truly_missing,orphan_articles,doc_mismatch_articles,unbacked_answer_mentions
1,4,4,80/2021/NĐ-CP;07/2020/TT-BKHCN,80/2021/NĐ-CP;07/2020/TT-BKHCN,,205/2025/NĐ-CP|Điều 1;80/2021/NĐ-CP|Điều 22;07/2020/TT-BKHCN|Điều 12,,111/2015/NĐ-CP
2,5,6,22/NQ-CP;138/NQ-CP;20/VBHN-VPQH,22/NQ-CP;138/NQ-CP;20/VBHN-VPQH,,04/2017/QH14|Điều 13;22/NQ-CP|Điều 11;04/2017/QH14|Điều 33;138/NQ-CP|Điều 3;20/VBHN-VPQH|Điều 13,,56/2009/NĐ-CP
3,2,2,95/2013/NĐ-CP,95/2013/NĐ-CP,,95/2013/NĐ-CP|Điều 5,,
4,4,6,39/2018/NĐ-CP;80/2021/NĐ-CP;55/2019/NĐ-CP,39/2018/NĐ-CP;80/2021/NĐ-CP;55/2019/NĐ-CP,,39/2018/NĐ-CP|Điều 15;80/2021/NĐ-CP|Điều 15;80/2021/NĐ-CP|Điều 4;55/2019/NĐ-CP|Điều 9,,
5,3,3,80/2021/NĐ-CP;198/2025/QH15,80/2021/NĐ-CP,198/2025/QH15,80/2021/NĐ-CP|Điều 22;198/2025/QH15|Điều 7,,
6,7,10,116/2020/TT-BTC;67/VBHN-VPQH;200/2014/TT-BTC;13/1999/QH10,67/VBHN-VPQH,116/2020/TT-BTC;200/2014/TT-BTC;13/1999/QH10,99/2025/TT-BTC|Điều 31;116/2020/TT-BTC|Điều 55;99/2025/TT-BTC|Điều 16;133/2016/TT-BTC|Điều 82;67/VBHN-VPQH|Điều 197;04/VBHN-BTC|Điều 115;200/2014/TT-BTC|Điều 106;13/1999/QH10|Điều 93,,
7,7,7,41/2024/QH15;135/2007/NĐ-CP;58/2014/QH13;49/2003/TT-BTC;85/1998/TT-BTC;71/2006/QH11,41/2024/QH15;58/2014/QH13;71/2006/QH11,135/2007/NĐ-CP;49/2003/TT-BTC;85/1998/TT-BTC,41/2024/QH15|Điều 40;135/2007/NĐ-CP|Điều 10;86/2010/NĐ-CP|Điều 7;58/2014/QH13|Điều 122;85/1998/TT-BTC|Điều 11;71/2006/QH11|Điều 138,,
8,5,9,39/2018/NĐ-CP;55/2019/NĐ-CP;07/2020/TT-BKHCN,39/2018/NĐ-CP;55/2019/NĐ-CP;07/2020/TT-BKHCN,,04/2017/QH14|Điều 18;39/2018/NĐ-CP|Điều 20;80/2021/NĐ-CP|Điều 21;39/2018/NĐ-CP|Điều 21;55/2019/NĐ-CP|Điều 4;55/2019/NĐ-CP|Điều 9;07/2020/TT-BKHCN|Điều 2,,
9,4,7,39/2018/NĐ-CP;06/2022/TT-BKHĐT,39/2018/NĐ-CP;06/2022/TT-BKHĐT,,04/2017/QH14|Điều 15;80/2021/NĐ-CP|Điều 24;39/2018/NĐ-CP|Điều 23;06/2022/TT-BKHĐT|Điều 18;06/2022/TT-BKHĐT|Điều 17,,
10,8,8,35/NQ-CP;22/NQ-CP;39/2019/NĐ-CP;56/2009/NĐ-CP;90/2001/NĐ-CP;08/2020/TT-BKHĐT,35/NQ-CP;22/NQ-CP;39/2019/NĐ-CP;56/2009/NĐ-CP;90/2001/NĐ-CP;08/2020/TT-BKHĐT,,39/2019/NĐ-CP|Điều 60;39/2019/NĐ-CP|Điều 5;56/2009/NĐ-CP|Điều 7;90/2001/NĐ-CP|Điều 13;56/2009/NĐ-CP|Điều 15;08/2020/TT-BKHĐT|Điều 15,,
11,3,4,,,,39/2018/NĐ-CP|Điều 8,,
12,2,2,35/NQ-CP,,35/NQ-CP,,,
13,4,3,04/2017/QH14;93/2004/TT-BTC;42/2002/TT-BTC,04/2017/QH14;93/2004/TT-BTC;42/2002/TT-BTC,,04/2017/QH14|Điều 9;34/2018/NĐ-CP|Điều 17,,
14,1,1,,,,,,
15,3,4,52/2023/TT-BTC,52/2023/TT-BTC,,80/2021/NĐ-CP|Điều 8;52/2023/TT-BTC|Điều 3,,
16,8,10,04/2017/QH14;13/2023/TT-BKHĐT;52/2023/TT-BTC;04/2014/TTLT-BKHĐT-BTC;05/2011/TTLT-BKHĐT-BTC;06/2022/TT-BKHĐT,,04/2017/QH14;13/2023/TT-BKHĐT;52/2023/TT-BTC;04/2014/TTLT-BKHĐT-BTC;05/2011/TTLT-BKHĐT-BTC;06/2022/TT-BKHĐT,04/2017/QH14|Điều 15;13/2023/TT-BKHĐT|Điều 14;52/2023/TT-BTC|Điều 8;04/2014/TTLT-BKHĐT-BTC|Điều 9;80/2021/NĐ-CP|Điều 3;05/2011/TTLT-BKHĐT-BTC|Điều 10;06/2022/TT-BKHĐT|Điều 12;06/2022/TT-BKHĐT|Điều 13,,1/2
17,8,10,108/2025/QH15;80/2021/NĐ-CP;132/2018/TT-BTC;149/2005/NĐ-CP;20/VBHN-VPQH;119/2015/TT-BTC;292/2016/TT-BTC,80/2021/NĐ-CP;20/VBHN-VPQH;119/2015/TT-BTC,108/2025/QH15;132/2018/TT-BTC;149/2005/NĐ-CP;292/2016/TT-BTC,108/2025/QH15|Điều 39;80/2021/NĐ-CP|Điều 28;132/2018/TT-BTC|Điều 17;132/2018/TT-BTC|Điều 3;149/2005/NĐ-CP|Điều 25;20/VBHN-VPQH|Điều 23;119/2015/TT-BTC|Điều 21;04/2017/QH14|Điều 24;292/2016/TT-BTC|Điều 17,,
18,1,1,,,,,,80/2021/NĐ-CP
19,6,9,04/2017/QH14;55/2019/NĐ-CP;06/2022/TT-BKHĐT;54/2019/TT-BTC,04/2017/QH14;55/2019/NĐ-CP;06/2022/TT-BKHĐT;54/2019/TT-BTC,,04/2017/QH14|Điều 10;55/2019/NĐ-CP|Điều 9;04/2017/QH14|Điều 13;80/2021/NĐ-CP|Điều 4;06/2022/TT-BKHĐT|Điều 10;54/2019/TT-BTC|Điều 9;55/2019/NĐ-CP|Điều 17,,
20,4,5,04/2017/QH14;06/2022/TT-BKHĐT,04/2017/QH14;06/2022/TT-BKHĐT,,04/2017/QH14|Điều 19;80/2021/NĐ-CP|Điều 24;06/2022/TT-BKHĐT|Điều 17;06/2022/TT-BKHĐT|Điều 16,,
21,6,7,04/2017/QH14;39/2018/NĐ-CP;06/2022/TT-BKHĐT;09/2005/TT-BTC;05/2019/TT-BKHĐT,04/2017/QH14;39/2018/NĐ-CP;06/2022/TT-BKHĐT;09/2005/TT-BTC;05/2019/TT-BKHĐT,,04/2017/QH14|Điều 15;39/2018/NĐ-CP|Điều 14;06/2022/TT-BKHĐT|Điều 12;09/2005/TT-BTC|Điều 4;05/2019/TT-BKHĐT|Điều 1;05/2019/TT-BKHĐT|Điều 3,,
22,3,4,54/2019/TT-BTC;06/2022/TT-BKHĐT,54/2019/TT-BTC;06/2022/TT-BKHĐT,,54/2019/TT-BTC|Điều 7;54/2019/TT-BTC|Điều 4;06/2022/TT-BKHĐT|Điều 4,,40/2017/TT-BTC;80/2021/NĐ-CP
23,2,3,,,,80/2021/NĐ-CP|Điều 22,,
24,4,4,05/2014/TT-BKHĐT,,05/2014/TT-BKHĐT,05/2014/TT-BKHĐT|Điều 4,,
